sku,unique_sale_days,sales_cv,history_days,train_days,test_days,prophet_mape,arima_mape,prophet_rmse,arima_rmse,selected_model,selected_mape,selected_rmse,selected_smape,prophet_error,arima_error,pre_gate_reason,last_observed_date,gap_days,next_day_pred_qty,next_day_lower,next_day_upper,next_day_interval_ratio,sku_name,category,avg_unit_price,today_gap_days,today_tier,today_tier_reason,missing3d_gap_days,missing3d_tier,missing3d_tier_reason
tempe_goreng,61,0.21501823821415408,61,31,30,,,,,none,,,,skipped_by_pre_gate,skipped_by_pre_gate,gate2_recency_red,2026-01-30,52,,,,,Tempe Goreng,Makanan,3000.0,52,red,gate2_recency_red,55,red,recency_force_red_gt_14
kopi_hitam,61,0.2736824809731132,61,31,30,,,,,none,,,,skipped_by_pre_gate,skipped_by_pre_gate,gate2_recency_red,2026-01-30,52,,,,,Kopi Hitam,Minuman,8000.0,52,red,gate2_recency_red,55,red,recency_force_red_gt_14
es_jeruk_peras,61,0.22420484060094883,61,31,30,,,,,none,,,,skipped_by_pre_gate,skipped_by_pre_gate,gate2_recency_red,2026-01-30,52,,,,,Es Jeruk Peras,Minuman,10000.0,52,red,gate2_recency_red,55,red,recency_force_red_gt_14
bebek_goreng_dada,61,0.3096113938794505,61,31,30,,,,,none,,,,skipped_by_pre_gate,skipped_by_pre_gate,gate2_recency_red,2026-01-30,52,,,,,Bebek Goreng - Dada,Makanan,35000.0,52,red,gate2_recency_red,55,red,recency_force_red_gt_14
usus_goreng_crispy,61,0.22703811656319117,61,31,30,,,,,none,,,,skipped_by_pre_gate,skipped_by_pre_gate,gate2_recency_red,2026-01-30,52,,,,,Usus Goreng Crispy,Makanan,19000.0,52,red,gate2_recency_red,55,red,recency_force_red_gt_14
air_mineral_botol,61,0.2773966919975485,61,31,30,,,,,none,,,,skipped_by_pre_gate,skipped_by_pre_gate,gate2_recency_red,2026-01-30,52,,,,,Air Mineral Botol,Minuman,6000.0,52,red,gate2_recency_red,55,red,recency_force_red_gt_14
jeruk_panas,61,0.29239961740788806,61,31,30,,,,,none,,,,skipped_by_pre_gate,skipped_by_pre_gate,gate2_recency_red,2026-01-30,52,,,,,Jeruk Panas,Minuman,10000.0,52,red,gate2_recency_red,55,red,recency_force_red_gt_14
ayam_goreng_serayu_dada,61,0.2497753070313889,61,31,30,,,,,none,,,,skipped_by_pre_gate,skipped_by_pre_gate,gate2_recency_red,2026-01-30,52,,,,,Ayam Goreng Serayu - Dada,Makanan,29000.0,52,red,gate2_recency_red,55,red,recency_force_red_gt_14
nasi_putih,61,0.26472334205841863,61,31,30,,,,,none,,,,skipped_by_pre_gate,skipped_by_pre_gate,gate2_recency_red,2026-01-30,52,,,,,Nasi Putih,Makanan,5000.0,52,red,gate2_recency_red,55,red,recency_force_red_gt_14
ayam_bakar_madu_paha,61,0.28611997783900633,61,31,30,,,,,none,,,,skipped_by_pre_gate,skipped_by_pre_gate,gate2_recency_red,2026-01-30,52,,,,,Ayam Bakar Madu - Paha,Makanan,31000.0,52,red,gate2_recency_red,55,red,recency_force_red_gt_14
es_kopi_susu,61,0.2315084902678533,61,31,30,,,,,none,,,,skipped_by_pre_gate,skipped_by_pre_gate,gate2_recency_red,2026-01-30,52,,,,,Es Kopi Susu,Minuman,12000.0,52,red,gate2_recency_red,55,red,recency_force_red_gt_14
nasi_merah,61,0.261447538029524,61,31,30,,,,,none,,,,skipped_by_pre_gate,skipped_by_pre_gate,gate2_recency_red,2026-01-30,52,,,,,Nasi Merah,Makanan,6000.0,52,red,gate2_recency_red,55,red,recency_force_red_gt_14
jus_alpukat,60,0.2365563166631911,61,31,30,,,,,none,,,,skipped_by_pre_gate,skipped_by_pre_gate,gate2_recency_red,2026-01-30,52,,,,,Jus Alpukat,Minuman,15000.0,52,red,gate2_recency_red,55,red,recency_force_red_gt_14
jamur_enoki_crispy,61,0.22807758276340895,61,31,30,,,,,none,,,,skipped_by_pre_gate,skipped_by_pre_gate,gate2_recency_red,2026-01-30,52,,,,,Jamur Enoki Crispy,Makanan,15000.0,52,red,gate2_recency_red,55,red,recency_force_red_gt_14
ayam_goreng_kremes_paha,61,0.23757851021315657,61,31,30,,,,,none,,,,skipped_by_pre_gate,skipped_by_pre_gate,gate2_recency_red,2026-01-30,52,,,,,Ayam Goreng Kremes - Paha,Makanan,30000.0,52,red,gate2_recency_red,55,red,recency_force_red_gt_14
es_campur_serayu,61,0.2142454471257299,61,31,30,,,,,none,,,,skipped_by_pre_gate,skipped_by_pre_gate,gate2_recency_red,2026-01-30,52,,,,,Es Campur Serayu,Minuman,18000.0,52,red,gate2_recency_red,55,red,recency_force_red_gt_14
teh_manis_panas,61,0.29773531160645245,61,31,30,,,,,none,,,,skipped_by_pre_gate,skipped_by_pre_gate,gate2_recency_red,2026-01-30,52,,,,,Teh Manis Panas,Minuman,6000.0,52,red,gate2_recency_red,55,red,recency_force_red_gt_14
sambal_dadak,61,0.23102358974691278,61,31,30,,,,,none,,,,skipped_by_pre_gate,skipped_by_pre_gate,gate2_recency_red,2026-01-30,52,,,,,Sambal Dadak,Makanan,4000.0,52,red,gate2_recency_red,55,red,recency_force_red_gt_14
cah_kangkung_terasi,61,0.31627242464804733,61,31,30,,,,,none,,,,skipped_by_pre_gate,skipped_by_pre_gate,gate2_recency_red,2026-01-30,52,,,,,Cah Kangkung Terasi,Makanan,12000.0,52,red,gate2_recency_red,55,red,recency_force_red_gt_14
es_kelapa_muda,61,0.2874024918236347,61,31,30,,,,,none,,,,skipped_by_pre_gate,skipped_by_pre_gate,gate2_recency_red,2026-01-30,52,,,,,Es Kelapa Muda,Minuman,12000.0,52,red,gate2_recency_red,55,red,recency_force_red_gt_14
