sku,unique_sale_days,sales_cv,history_days,train_days,test_days,prophet_mape,arima_mape,prophet_rmse,arima_rmse,selected_model,selected_mape,selected_rmse,selected_smape,prophet_error,arima_error,pre_gate_reason,last_observed_date,gap_days,next_day_pred_qty,next_day_lower,next_day_upper,next_day_interval_ratio,sku_name,category,avg_unit_price,today_gap_days,today_tier,today_tier_reason,missing3d_gap_days,missing3d_tier,missing3d_tier_reason
tempe_goreng,41,0.23242510082516224,41,11,30,58.52961398297521,0.23410104954614352,1730.3226288935953,6.369485535764754,arima,0.23410104954614352,6.369485535764754,0.20771754073479878,,,model_routed,2026-01-10,0,27.99297605010817,16.671363729220058,39.314588370996276,0.8088895086125979,Tempe Goreng,Makanan,3000.0,0,green,all_gates_green,3,yellow,missing_3_to_6_downgrade
kopi_hitam,41,0.2907096853605869,41,11,30,7.9360031495995464,1.4798931497042151,220.66725722397885,38.78298216842663,arima,1.4798931497042151,38.78298216842663,0.7635701137093468,,,model_routed,2026-01-10,0,85.05392359093608,78.41657837430374,91.69126880756842,0.15607381614878635,Kopi Hitam,Minuman,8000.0,0,yellow,fallback_force_yellow_both_mape_gt_40,3,red,missing_3_to_6_downgrade
usus_goreng_crispy,41,0.3026944681906659,41,11,30,0.931799109471723,0.20293247606275025,25.07051871050756,6.015428491401188,arima,0.20293247606275025,6.015428491401188,0.19497862129207713,,,model_routed,2026-01-10,0,24.89379061664828,15.635355212520238,34.15222602077632,0.7438349222666197,Usus Goreng Crispy,Makanan,19000.0,0,green,all_gates_green,3,yellow,missing_3_to_6_downgrade
ayam_goreng_serayu_dada,41,0.2870240735682459,41,11,30,0.9980740045081632,0.1882339814067498,26.037591370361866,5.435644408878376,arima,0.1882339814067498,5.435644408878376,0.18231884343652663,,,model_routed,2026-01-10,0,23.98757757971856,15.345937342993992,32.62921781644313,0.7205096227833406,Ayam Goreng Serayu - Dada,Makanan,29000.0,0,green,all_gates_green,3,yellow,missing_3_to_6_downgrade
bebek_goreng_dada,41,0.2698705274195642,41,11,30,32.00848421520865,0.2732382392350063,873.1706865736309,9.7277400057688,arima,0.2732382392350063,9.7277400057688,0.3093811505829354,,,model_routed,2026-01-10,0,20.727272727272723,13.558683336797559,27.89586211774789,0.6917059938177792,Bebek Goreng - Dada,Makanan,35000.0,0,green,all_gates_green,3,yellow,missing_3_to_6_downgrade
nasi_merah,41,0.2864667389578636,41,11,30,44.11942878268655,0.2034686890862479,1184.6844997775527,6.720716668220714,arima,0.2034686890862479,6.720716668220714,0.2103590483108239,,,model_routed,2026-01-10,0,22.45118377661378,13.335520681473065,31.5668468717545,0.8120429805252429,Nasi Merah,Makanan,6000.0,0,green,all_gates_green,3,yellow,missing_3_to_6_downgrade
es_jeruk_peras,41,0.1889096924657698,41,11,30,0.952317194531702,0.2315691141108645,23.75948658639828,5.909976623596749,arima,0.2315691141108645,5.909976623596749,0.18947416313926463,,,model_routed,2026-01-10,0,26.45454545454545,20.049965815574325,32.859125093516575,0.48419502425211264,Es Jeruk Peras,Minuman,10000.0,0,green,all_gates_green,3,yellow,missing_3_to_6_downgrade
tumis_toge_ikan_asin,41,0.1870888229361444,41,11,30,51.98690870471128,0.22213303070156432,1527.434893225404,6.130558421259341,arima,0.22213303070156432,6.130558421259341,0.20853876108461492,,,model_routed,2026-01-10,0,24.363636363636363,18.52211408971246,30.205158637560267,0.47952794785942493,Tumis Toge Ikan Asin,Makanan,13000.0,0,green,all_gates_green,3,yellow,missing_3_to_6_downgrade
jamur_enoki_crispy,41,0.1743234694147975,41,11,30,15.770202036394208,0.20694288776765066,473.72536026497255,5.6923417695124945,arima,0.20694288776765066,5.6923417695124945,0.19774265610205016,,,model_routed,2026-01-10,0,23.818181818181813,18.497092457581687,29.13927117878194,0.4468090302794,Jamur Enoki Crispy,Makanan,15000.0,0,green,all_gates_green,3,yellow,missing_3_to_6_downgrade
jus_alpukat,41,0.19137793604094536,41,11,30,0.9824779250926706,0.2337707419667368,24.38653708305168,6.365556702693886,arima,0.2337707419667368,6.365556702693886,0.21239559818248951,,,model_routed,2026-01-10,0,24.96714730118637,18.628103296567456,31.30619130580528,0.5077908123142045,Jus Alpukat,Minuman,15000.0,0,green,all_gates_green,3,yellow,missing_3_to_6_downgrade
